f, RPR, RBV, F_last, Recl_last
74491.4,0.837658,0.941488,0.110803,334369
74491.3,0.837658,0.941488,0.110803,334369
74491.1,0.837658,0.941488,0.110803,334370
74489.1,0.837658,0.941488,0.110803,334381
74469.2,0.837658,0.941488,0.110803,334491
74271.2,0.837658,0.941488,0.110806,335593
72480.2,0.837657,0.941487,0.110827,346812
68518.2,0.838407,0.942331,0.110657,346436
35740.1,0.84553,0.950336,0.108973,342694
324678,0.83695,0.940693,0.0956866,831750
35609.2,0.845043,0.949789,0.108052,363180
35372.2,0.845778,0.950616,0.107101,365346
34757.7,0.84844,0.953607,0.104627,373824
32077.2,0.872869,0.981064,0.0828473,470168
30108.8,0.865969,0.973309,0.0888304,439017
89675.8,0.967875,1.08785,0.0198668,1.41767e+06
29606,0.87947,0.988483,0.0790505,479589
28679.9,0.894778,1.00569,0.0683545,545331
27855,0.915504,1.02898,0.0541465,698066
27211.3,0.934147,1.04994,0.0415919,876539
29620.6,0.951685,1.06965,0.0311317,1.07677e+06
27100.3,0.937631,1.05385,0.0395206,908655
26942,0.940707,1.05731,0.0375468,950339
28315.4,0.944907,1.06203,0.0333695,1.01611e+06
26927.3,0.941112,1.05777,0.037135,956280
27560.7,0.94119,1.05785,0.036055,960794
26926.9,0.941114,1.05777,0.0371109,956380
26926.3,0.94113,1.05779,0.0371034,956435
26922.5,0.941288,1.05796,0.0370288,956986
26919.4,0.94118,1.05784,0.0370649,957386
26913.2,0.941148,1.05781,0.0370708,957316
26865.3,0.940822,1.05744,0.0371301,956612
26757.6,0.94074,1.05735,0.0371987,955349
25712.2,0.939911,1.05642,0.0378922,942810
18342.8,0.930905,1.04629,0.0456447,825980
7236.1,0.918831,1.03272,0.0563989,656955
621165,0.715615,0.804318,0.0128715,480824
7150.58,0.918147,1.03196,0.0557069,655362
27430,0.898987,1.01042,0.070394,653460
7150.23,0.918078,1.03188,0.0557597,655354
7149.72,0.918045,1.03184,0.0558158,655342
7148.7,0.918049,1.03184,0.0558133,655329
7138.73,0.918092,1.03189,0.0557879,655200
7060.95,0.918522,1.03238,0.0555353,653908
6885.67,0.918153,1.03196,0.055818,651653
5372.24,0.914365,1.0277,0.0587294,629524
5039.03,0.893117,1.00382,0.0740845,587046
42204.1,0.895923,1.00698,0.0555337,581752
5036.21,0.893181,1.00389,0.0739085,587002
5138.43,0.895593,1.00661,0.0723232,587053
5036.14,0.893245,1.00397,0.0738666,587004
5035.99,0.893246,1.00397,0.0738683,587003
5034.6,0.893254,1.00398,0.0738854,586995
5027.95,0.89333,1.00406,0.0740557,586920
5011.6,0.893358,1.00409,0.0740686,586817
4851.89,0.893628,1.0044,0.0741974,585787
3631.25,0.896223,1.00731,0.0754988,575580
2111.83,0.895238,1.00621,0.0719668,556568
378721,0.745343,0.837731,0.361714,526128
2108.01,0.895143,1.0061,0.0722289,556498
3138.59,0.8998,1.01133,0.0767629,556061
2107.99,0.895161,1.00612,0.0722451,556496
2107.97,0.895159,1.00612,0.0722299,556495
2107.91,0.895159,1.00612,0.0722299,556494
2107.38,0.895154,1.00611,0.0722299,556485
2102.19,0.895105,1.00606,0.07223,556390
2060.13,0.894616,1.00551,0.0722305,555440
1969.69,0.894803,1.00572,0.0725196,553695
2511.52,0.899912,1.01146,0.0586935,550786
1958.37,0.895483,1.00648,0.0706191,553330
11429,0.905845,1.01813,0.0795586,553027
1958.36,0.895511,1.00651,0.0706288,553330
1958.33,0.895512,1.00651,0.0706295,553329
1958.07,0.895514,1.00652,0.0706364,553319
1956.13,0.895539,1.00654,0.0707058,553227
1951.69,0.895531,1.00654,0.0707327,553075
1908.7,0.895451,1.00645,0.0710021,551563
1615.43,0.894637,1.00553,0.0737553,536669
41791.5,0.893189,1.0039,0.139728,514011
1612.66,0.894731,1.00564,0.0741269,536487
8362.47,0.894078,1.0049,0.123336,534848
1612.66,0.894733,1.00564,0.0741423,536486
1612.65,0.894733,1.00564,0.0741423,536486
1612.63,0.894733,1.00564,0.0741433,536482
1612.4,0.894729,1.00563,0.0741524,536448
1610.16,0.894693,1.00559,0.0742438,536104
1590.11,0.894332,1.00519,0.0751646,532683
1548.61,0.89319,1.0039,0.0763703,525442
1472.24,0.890205,1.00055,0.0794838,508407
1337.96,0.883138,0.992607,0.0861365,475114
1222.22,0.865551,0.972839,0.102314,410747
1132.98,0.860182,0.966805,0.106356,398462
