f, RPR, RBV, F_last, Recl_last
74491.4,0.837658,0.941488,0.110803,334369
74491.3,0.837658,0.941488,0.110803,334369
74491.1,0.837658,0.941488,0.110803,334370
74489.1,0.837658,0.941487,0.110803,334378
74469.2,0.837657,0.941478,0.110803,334457
74270.4,0.837653,0.941382,0.110803,335255
72390.9,0.837607,0.940426,0.110803,343336
68302.1,0.837445,0.935261,0.110803,341869
39422.3,0.835723,0.885533,0.110803,327531
353021,0.790633,0.663337,0.110803,482418
30494.6,0.831528,0.802951,0.110803,353571
45317.4,0.79932,1.08105,0.110803,519313
26479.9,0.821856,0.879837,0.110803,409209
29707.9,0.816523,0.933898,0.110803,533595
24563.4,0.819987,0.899405,0.110803,458052
25753.7,0.827172,0.896042,0.110803,576733
23722.6,0.823047,0.89689,0.110803,504416
24382.4,0.818903,1.04005,0.110803,631563
23390.1,0.821529,0.948656,0.110803,550076
23294.3,0.824928,0.984644,0.110803,637835
23292.3,0.823208,1.00426,0.110803,669063
23246.1,0.82407,0.994419,0.110803,653405
23190.7,0.822822,0.981689,0.110803,661317
23109.9,0.821414,0.97876,0.110803,674839
22963.1,0.820185,0.980234,0.110803,695538
22832.6,0.817382,0.986874,0.110803,726522
24737.9,0.819995,0.976286,0.110803,746776
22822.9,0.817607,0.985897,0.110803,728057
22815.7,0.818111,0.994701,0.110803,734574
22807.4,0.817866,0.991884,0.110803,728656
22797.8,0.817814,0.992827,0.110803,727024
22786,0.817675,0.99462,0.110803,728675
22766.4,0.817555,0.9914,0.110803,730204
22757.3,0.818312,1.00701,0.110803,726071
22749.1,0.817872,1.00308,0.110803,708146
22744.3,0.81915,1.01363,0.110803,720532
22746.7,0.817818,1.00106,0.110803,719277
22742.2,0.818619,1.00852,0.110803,720030
22749.1,0.819849,1.01608,0.110803,743615
22741.8,0.818839,1.00983,0.110803,724172
22742.8,0.818711,1.01205,0.110803,713859
22741.7,0.818815,1.01024,0.110803,722239
22741.6,0.818876,1.01096,0.110803,720901
22741.4,0.818868,1.01053,0.110803,722191
22741.1,0.818774,1.00976,0.110803,722173
22740.5,0.818767,1.0098,0.110803,722130
22735.1,0.818704,1.01023,0.110803,721699
22723.2,0.818633,1.00989,0.110803,721681
22620.4,0.817934,1.00681,0.110803,721498
22405.7,0.817401,0.99481,0.110803,730951
22027.7,0.818857,0.998631,0.110803,715331
21452.1,0.813639,0.971201,0.110803,727998
22217.1,0.800199,0.83246,0.110803,983430
21206.9,0.808173,0.91022,0.110803,822667
24713.2,0.840868,1.26545,0.110803,420152
21183.3,0.81083,0.931536,0.110803,776676
21780.5,0.831792,1.09773,0.110803,588794
21182.4,0.811371,0.934559,0.110803,770226
21181.5,0.811443,0.935022,0.110803,769313
21174.9,0.812169,0.939719,0.110803,760243
21160.7,0.812169,0.939601,0.110803,760051
21019.7,0.812165,0.938425,0.110803,758131
19713.6,0.812128,0.926742,0.110803,739156
17196.4,0.813284,0.910525,0.110803,707545
14023.6,0.810373,0.876077,0.110803,720180
12550.3,0.812267,0.891261,0.110803,663594
11738.7,0.811731,0.954571,0.110803,651074
11136.1,0.813797,1.11168,0.110803,650728
10892.2,0.814577,1.14435,0.110803,649942
10556.7,0.817976,1.27207,0.110803,636979
10350,0.819925,1.42069,0.110803,628976
10276.6,0.821879,1.55976,0.110803,608113
10240.2,0.823537,1.64793,0.110803,595250
10212.4,0.826084,1.78226,0.110803,577035
10200.4,0.827045,1.8612,0.110803,570962
10193.1,0.826888,1.90503,0.110803,570947
10185.4,0.826693,1.94527,0.110803,576830
10176.5,0.826477,1.97223,0.110803,585066
10167.3,0.826732,1.98577,0.110803,590030
10158.7,0.827541,1.99669,0.110803,587947
10151.8,0.828484,1.97851,0.110803,577223
10146.4,0.830016,2.00879,0.110803,561687
10142,0.83107,2.01502,0.110803,543972
10138.9,0.831085,2.03211,0.110803,542931
10135.4,0.830655,2.0365,0.110803,548689
10132.6,0.83045,2.0373,0.110803,555226
10130.1,0.83012,2.02921,0.110803,560959
10127.1,0.829936,2.02893,0.110803,566220
10122.8,0.829603,2.0312,0.110803,570075
10117.6,0.829055,2.03523,0.110803,574239
10114.2,0.829465,2.05794,0.110803,568753
10111.3,0.829646,2.05883,0.110803,565769
10107.3,0.830178,2.06507,0.110803,558908
10104.9,0.830492,2.06144,0.110803,554244
10103.6,0.830587,2.05005,0.110803,553556
