f, RPR, RBV, F_last, Recl_last
73621.4,0.845801,0.898141,0.110803,334369
73621.4,0.845801,0.898141,0.110803,334369
73621.2,0.845801,0.898141,0.110803,334370
73619.2,0.845801,0.898141,0.110803,334382
73599.2,0.8458,0.898141,0.110804,334499
73401.3,0.845796,0.898136,0.110809,335670
71606.3,0.845753,0.898091,0.110861,347614
67636.7,0.845701,0.898035,0.111187,347377
34846.3,0.84471,0.896983,0.114508,345015
576940,0.600696,0.637869,0.0717893,750821
33770.7,0.840264,0.892262,0.112963,352910
34220.5,0.865027,0.918557,0.0897438,451131
33327.4,0.850907,0.903563,0.102747,390470
32567.1,0.869603,0.923416,0.0887771,442690
35497.5,0.913046,0.969548,0.0573538,553908
32438.1,0.878193,0.932538,0.0824252,459800
40352.2,0.904577,0.960554,0.0628147,477893
32436.1,0.878662,0.933036,0.0820737,460078
32436,0.878838,0.933223,0.0820486,460129
32435,0.878751,0.93313,0.082061,460103
32433,0.878744,0.933123,0.0820712,460108
32413.4,0.87867,0.933045,0.0821729,460156
32301.3,0.877931,0.932259,0.0831975,460638
32035.1,0.877827,0.93215,0.0833256,461111
29520.7,0.876782,0.93104,0.0846174,465865
24265.6,0.878064,0.932401,0.0837969,476090
115524,0.918363,0.975194,0.0398831,494815
24012.9,0.880398,0.934879,0.0809701,476928
53053,0.909682,0.965975,0.0675578,475377
24010.8,0.880692,0.935192,0.0808488,476916
24010.5,0.881089,0.935613,0.0810247,476908
24010,0.881091,0.935615,0.0810242,476909
24005.1,0.881108,0.935633,0.0810195,476919
23958.4,0.88128,0.935816,0.0809726,477023
23854.3,0.881277,0.935813,0.0809364,477259
22829.4,0.881245,0.935778,0.0805749,479633
14199.4,0.880853,0.935363,0.0770496,504025
8384.08,0.888013,0.942965,0.100715,557560
536353,0.905034,0.96104,0.00876936,598059
8346.51,0.889241,0.944269,0.0990342,557805
11055.2,0.896655,0.952142,0.0788645,557794
8346,0.889348,0.944384,0.0987319,557805
