f, RPR, RBV, F_last, Recl_last
73621.4,0.845801,0.898141,0.110803,334369
73621.4,0.845801,0.898141,0.110803,334369
73621.2,0.845801,0.898141,0.110803,334370
73619.2,0.845801,0.898141,0.110803,334382
73599.2,0.8458,0.898141,0.110804,334498
73401.3,0.845796,0.898136,0.110809,335665
71606.1,0.845753,0.898091,0.11086,347561
67636.4,0.845699,0.898033,0.111189,347144
34882,0.84469,0.896961,0.114523,343001
389407,0.681489,0.723661,0.131623,1.03837e+06
34492.8,0.838301,0.890178,0.115368,363751
34005,0.838054,0.889915,0.11281,370542
32410.4,0.846952,0.899363,0.104354,403378
102141,0.914503,0.971095,0.0481999,939679
29220.7,0.863567,0.917007,0.0892238,478460
177258,0.943651,1.00205,0.0337142,1.14333e+06
28980.1,0.868258,0.921988,0.0857266,495659
28536.1,0.87802,0.932355,0.078972,529638
27994.3,0.892594,0.94783,0.0695095,600008
27882.8,0.903821,0.959752,0.0617142,695354
27603.3,0.899432,0.955091,0.0647441,655206
29005.9,0.912539,0.969009,0.0557204,714939
27527.1,0.902065,0.957887,0.0629195,666162
27435.1,0.902043,0.957864,0.0629906,674075
29357.1,0.90221,0.958041,0.0601727,686116
27431,0.902051,0.957873,0.0628636,674601
27430.6,0.902396,0.958238,0.0626224,675535
27430.3,0.902339,0.958178,0.0627302,675605
27429.7,0.902318,0.958156,0.0627466,675605
27424.4,0.90211,0.957935,0.0629101,675607
27412.6,0.902077,0.9579,0.0629274,675589
27296.3,0.901746,0.957548,0.0631011,675405
26289.3,0.898358,0.953951,0.064866,673563
24080.2,0.89777,0.953326,0.0654859,669974
8435.51,0.891151,0.946298,0.0720328,635100
442724,0.738535,0.784237,0.0376846,570657
7982.29,0.891083,0.946225,0.0709863,633591
74990.3,0.888588,0.943576,0.0920242,629542
7979.43,0.891093,0.946236,0.0710975,633566
7994.92,0.89145,0.946616,0.0714911,633369
7979.05,0.891142,0.946288,0.0711504,633540
7978.28,0.891142,0.946288,0.071149,633512
