"","Año","$BD_{sept}$","$BT_{sept}$","$R_{sept}$","$F_{sept}$"
"1","1990/91","2015500","2854600","170640","0.208"
"2","1991/92","1351100","1957000","93685","0.384"
"3","1992/93","648900","960130","94732","0.377"
"4","1993/94","360660","908710","143610","0.573"
"5","1994/95","395590","769120","116300","0.19"
"6","1995/96","475140","1526600","213120","0.346"
"7","1996/97","653820","1086100","83214","0.796"
"8","1997/98","351480","749450","35261","0.137"
"9","1998/99","316170","654160","34643","0.548"
"10","1999/00","198250","473350","46792","0.77"
"11","2000/01","122360","453530","87440","0.169"
"12","2001/02","251600","722230","127030","0.678"
"13","2002/03","270550","765100","106220","0.633"
"14","2003/04","221020","775920","74160","1.104"
"15","2004/05","133950","634680","68098","0.804"
"16","2005/06","170390","1321700","366990","0.628"
"17","2006/07","630220","1091800","74055","0.406"
"18","2007/08","560080","3125400","591890","0.385"
"19","2008/09","1285700","2875900","333490","0.539"
"20","2009/10","906150","1852800","259700","0.505"
"21","2010/11","942980","2963700","364440","0.395"
"22","2011/12","1167300","2728000","498580","0.498"
"23","2012/13","1111200","1863000","97326","0.297"
"24","2013/14","881820","3165800","289820","0.264"
"25","2014/15","1286100","2254300","243380","0.262"
"26","2015/16","1049300","1921400","108020","0.212"
"27","2016/17","853910","2726200","243660","0.264"
"28","2017/18","928190","2826000","273830","0.223"
"29","2018/19","1331900","1856000","80727","0.203"
"30","2019/20","866510","1352600","58188","0.306"
"31","2020/21","511110","2000600","220800","0.326"
