f, RPR, RBV, F_last, Recl_last
100502,0.835128,0.902615,0.110803,256002
100502,0.835128,0.902615,0.110803,256002
100502,0.835128,0.902615,0.110803,256002
100500,0.835128,0.902612,0.110803,256000
100480,0.835125,0.902585,0.110805,255987
100280,0.835097,0.902309,0.110818,255852
98299.5,0.834816,0.899557,0.110955,254511
80208.6,0.831967,0.872653,0.112328,241476
49357.4,0.801678,0.793025,0.139303,154610
32246.7,0.741255,1.10003,0.233403,96985.5
22066.2,0.762552,0.984756,0.198091,112590
105712,0.78035,1.10741,0.337167,116863
15725.7,0.768249,0.987859,0.222301,113515
13567.3,0.77573,1.12611,0.263413,137951
11509.3,0.77609,1.10441,0.273739,171346
12549.5,0.776746,0.907859,0.26432,222108
10685.1,0.776385,1.01961,0.269928,190120
9945.4,0.768807,0.953893,0.256356,212124
9084.96,0.762708,0.950809,0.241599,232624
8362.48,0.772294,0.915845,0.226167,252042
7294.57,0.779118,0.988065,0.21772,264873
6591.23,0.785007,1.01552,0.196002,277855
5906.75,0.79121,0.964147,0.177065,286545
5182.5,0.806499,1.06726,0.161397,333629
4466.42,0.832114,1.23345,0.141538,417124
3714.48,0.845029,1.36176,0.1195,480263
3570.14,0.850804,1.46268,0.0970931,499201
3388.07,0.854859,1.52914,0.0947314,524054
3261.09,0.856898,1.48254,0.0920022,552911
3164.63,0.860635,1.53202,0.090765,614467
3039.13,0.864152,1.56937,0.0882903,648717
2897.24,0.86673,1.58982,0.0833719,659194
2758.16,0.869088,1.64335,0.0797646,721278
2681.89,0.874808,1.6869,0.0800158,819420
2578.61,0.875009,1.67192,0.0788841,810848
2505.82,0.873675,1.63602,0.0804798,805040
2465.36,0.871798,1.61193,0.0828433,822129
2433.08,0.870127,1.5947,0.0837571,813282
2404.32,0.868705,1.57317,0.0852765,825292
2386.01,0.868616,1.58545,0.0862443,794580
2362.24,0.869871,1.59306,0.0880878,756629
2342.09,0.871564,1.6191,0.0901117,666760
2324.29,0.872636,1.63107,0.0932102,634419
2306.44,0.872917,1.63545,0.0946318,610674
2300.25,0.873539,1.64618,0.0956616,595393
2292.8,0.874178,1.6466,0.0962602,602219
2286.19,0.875339,1.66942,0.0954436,589748
2280.14,0.877158,1.70102,0.0946716,574744
2273.27,0.87872,1.72181,0.0937475,570854
2267.08,0.879951,1.73745,0.0922056,579948
