f, RPR, RBV, F_last, Recl_last
74608.8,0.835128,0.902615,0.110803,334369
74608.7,0.835128,0.902615,0.110803,334369
74608.5,0.835128,0.902615,0.110803,334370
74606.5,0.835128,0.902615,0.110803,334381
74586.6,0.835128,0.902615,0.110804,334490
74388.6,0.835128,0.902615,0.110807,335580
72593.2,0.835126,0.902613,0.110839,346679
68622.5,0.835872,0.903419,0.110923,346308
35786.1,0.84293,0.911047,0.111768,342622
336945,0.827591,0.894469,0.0960849,844297
35614.4,0.842087,0.910136,0.110713,362633
35317,0.842997,0.91112,0.109337,365427
34480.2,0.846716,0.91514,0.105811,377180
39226,0.87977,0.950865,0.0762821,517513
30013.9,0.864324,0.934171,0.0896763,442543
107661,0.966692,1.04481,0.0210441,1.38944e+06
29635,0.87479,0.945483,0.0822221,472963
28922.9,0.887275,0.958976,0.0734544,522028
28239.6,0.904848,0.97797,0.0618084,628121
28613.1,0.917007,0.991111,0.0529333,752249
27983.8,0.909856,0.983382,0.0581262,674578
27986,0.917202,0.991322,0.0535676,717543
27850.8,0.913666,0.9875,0.0557606,696087
28220.2,0.915878,0.989891,0.055321,709034
27823.3,0.914135,0.988007,0.055668,698787
27842.2,0.913554,0.987379,0.0558259,698996
27813,0.913917,0.987771,0.0557273,698865
27842.1,0.913091,0.986878,0.0558182,695921
27810.8,0.913745,0.987585,0.0557463,698249
27815.5,0.913764,0.987606,0.0560296,697418
27810.3,0.91375,0.98759,0.0558145,698048
27809.3,0.913757,0.987599,0.0558279,698033
27807.3,0.913755,0.987596,0.055828,698015
27787.6,0.913729,0.987569,0.0558291,697833
27601.8,0.913476,0.987295,0.0558401,696013
27188.9,0.913026,0.986809,0.0562015,692289
23272.8,0.908394,0.981802,0.0599533,656107
20630.4,0.904055,0.977112,0.0705062,584357
537547,0.911692,0.985366,0.00720952,566484
20622,0.904227,0.977298,0.0699559,584302
20680.6,0.904023,0.977078,0.0694165,584366
20621,0.904205,0.977274,0.0698954,584309
20619.1,0.904196,0.977264,0.0699111,584305
20600.8,0.904105,0.977167,0.0700686,584263
20463.8,0.903196,0.976184,0.0716634,583841
20151.3,0.902827,0.975785,0.0720067,583201
